melhores;piores
1486605.0735975301;1742736.95535967
1447586.8993777265;1719891.4813427678
1424822.8192639523;1721974.0537886196
1405452.083669257;1715146.3438255198
1383052.3677019442;1716969.8832808125
1367348.4300912742;1709430.4266141313
1351486.6244848312;1716650.344675125
1340303.8264225752;1711520.66181693
1329341.8322035004;1724180.45723901
1315874.1813530973;1708422.3495930035
1307371.817104521;1716653.7658191298
1295401.5011234689;1711171.0676628426
1282829.9114764337;1719461.2024554342
1272986.8314713342;1715994.603040294
1266689.360557011;1707889.6917121708
1258209.6514265016;1707195.2861057024
1250011.3059634299;1707032.5741962516
1241199.4835578415;1716280.1703524743
1231404.610205513;1703935.9387501217
1227081.5342645347;1705616.2024782258
1219480.7096153933;1701624.633800283
1214297.125844859;1725477.6455601468
1206631.8850857015;1717217.2890496273
1202421.7797004336;1720469.6936976942
1195058.3180637783;1716724.3514030254
1190843.4398150519;1717674.51824027
1186544.9758170415;1709546.8324833051
1179957.5390050816;1711427.1529691792
1175361.9366622856;1706464.6811378314
1167000.2236740172;1718516.3815948288
1163622.4320565849;1704042.9677963152
1158632.6992006998;1710913.7345382515
1152601.880646881;1705303.0990045206
1147732.704212985;1714574.0480891943
1140854.3210595264;1714645.8585062209
1135840.697233941;1714128.5666179291
1133250.910269161;1717045.308247196
1129385.7309891332;1712486.3900538266
1124728.2473428983;1712749.4707397912
1120281.054998561;1716597.732687644
1116357.8544691578;1709712.535575337
1111563.7631769155;1709373.5903153368
1105852.8202692163;1723244.6255102237
1102205.4874697113;1710770.803674827
1097956.843828427;1711186.0115293409
1093512.1074678083;1727373.8745828867
1089961.826339628;1702519.6997780968
1085610.6651722589;1706215.1881791218
1083915.8094464946;1710355.9353496744
1079630.4737926533;1710520.036347753
1074679.9945227115;1705471.2681329274
1071544.7838057054;1706243.401048059
1068442.7832843228;1704944.9909104418
1064382.9067432461;1705312.008197099
1062158.9032596755;1707460.8796625077
1058874.4693908212;1697133.1043161186
1055219.1968320948;1706031.408569621
1052282.085794967;1701054.7566925087
1049601.5374809038;1711360.8749572437
1047352.3139404124;1706923.5344772283
1040625.4912791693;1713529.4017538107
1040079.6656675322;1714932.7540464648
1037142.1062440298;1713460.0509288325
1034206.8044250552;1715326.3311771862
1031755.1362390727;1718110.1121381712
1027212.6973993132;1708515.4570806012
1027036.7933782892;1722968.6373989084
1022374.7740325059;1720253.276970102
1021372.2608596366;1711133.527313045
1017668.5496995368;1710202.550829482
1017121.5875785261;1728811.3632674771
1014720.7192828428;1710062.178067701
1012496.11986405;1703555.5488590118
1007756.1349929136;1719862.2447992521
1006126.5908849046;1709443.8790050142
1002693.7450215176;1708645.5888887849
1000044.7287983047;1719102.5590205665
998710.3517342067;1717317.3321103505
996446.762355979;1717306.8062054873
993099.2704827493;1710545.7264049302
992138.0374956492;1710695.6234576884
990695.2324531002;1710519.0106822525
988562.1618306285;1720365.3471665576
987023.4649513841;1735521.616435257
984290.6667760076;1720968.4143893432
981839.2474903639;1712121.380952983
979626.316769667;1711476.6746081635
978533.0932528047;1698845.5687944354
976770.9598822985;1714019.6820945977
974582.5967014016;1714115.0933865563
972646.6326523665;1713444.413606512
971965.45981247;1717217.8508135467
970449.278553854;1705657.660651417
968266.2942358581;1719714.555398137
965312.9826268451;1706131.2520659722
962335.2088170316;1714858.2761991168
962120.3470907634;1711649.3131616558
959938.0190052453;1710321.801707973
957718.2624941033;1721382.034049247
956831.0266203417;1701846.8226369459
954733.0751234206;1707021.1708761589
952818.3717033265;1713743.1441923957
951935.4962032627;1709279.8943715233
950751.1840095602;1709752.46659804
949532.2483929687;1719060.25839774
946358.2095861532;1705157.8141834824
945544.8886547604;1716553.554627635
944196.3377697266;1718798.3012755762
942001.8649661967;1713286.6554117438
940624.9173585357;1714554.4824385617
938373.2421151543;1708691.6878442063
937779.3029958138;1714714.205219074
936161.3586304907;1704779.9872390137
934764.7569878198;1719339.7396081407
932143.3342899276;1700643.2092236388
931744.4808329146;1711795.6979516577
929176.6125738248;1713540.7380752224
928438.2119757126;1707788.143051114
926566.1082930425;1719575.6613742963
925531.6629430887;1710295.0856294658
924638.4822420146;1714982.9110131122
923340.9173716282;1718961.373095451
921606.8973811924;1716089.7798202443
919600.2587801956;1717288.0067507946
918117.1276413063;1700490.1077500307
916937.9495948798;1719050.0133015518
915622.8086674719;1713082.201183262
915356.7524324119;1716551.7761162021
913808.4823765198;1708851.4018243786
911807.2110022927;1724872.8034647095
909110.1801415102;1709252.7973396636
908184.3087586475;1712158.9093556516
907124.2059883506;1712159.7477720391
906212.1509420552;1715673.732748847
904602.3354449415;1703018.5370726003
902547.6464404429;1706634.6064751868
900902.8972598771;1712958.9629270814
900727.4025904397;1718951.47398747
899756.6735264538;1709439.0412268527
898249.9788419124;1707049.4927167632
897671.7090491976;1718055.51604876
895694.5182806632;1710347.315437163
895149.7943039133;1720132.670816385
893242.6455820181;1700127.812804093
891715.8340371993;1712617.6375859678
890562.3178647792;1715122.4872633186
890023.0167305686;1716280.5800392248
887723.0294691704;1715647.6753892987
886706.7412669247;1715368.5202717662
885468.4769301802;1712387.5015516523
885023.9623762863;1712166.2724169884
882903.6258329708;1707016.7040209759
881785.107744348;1714515.7428552788
880405.3245302858;1704310.0848612927
877679.0331488388;1716029.9086715463
877610.504638893;1710026.3816306158
876181.9587257123;1719634.330225492
874582.6060202976;1711585.0776624691
873757.627148165;1709200.9449715833
871911.8327728981;1714678.915163292
870203.7267150776;1704335.1398296966
868832.2768545514;1705490.938775241
867833.8228208374;1709973.5802337483
866249.1594595949;1718656.401534535
864382.2797496427;1708294.6721335978
863773.6902774988;1713551.673965738
862261.3994625421;1715849.798118575
861726.8729110308;1714689.4388351634
860490.7882971729;1706216.521288269
860420.2588325419;1712192.4949822065
859473.0924104244;1717019.559001423
858114.7072475338;1710530.1504142836
856916.7780470054;1710634.7391907605
856428.9279872933;1712268.8899220456
854811.7723812188;1711545.6745803412
853608.7085030932;1702347.7587275528
852110.5420746453;1712885.3572108704
850877.4137909741;1706280.4045887347
850258.8534131345;1710491.1736424428
849081.6754860114;1700322.3065735982
848236.8882757729;1713301.2033292283
846688.5581857357;1711383.9454526927
845328.8700451804;1717689.8991825394
845101.8831302375;1715108.292427437
843577.6240982898;1713994.6418936518
841762.8947963852;1722237.3493425357
841762.8947963852;1720852.1535512372
840454.3468837322;1712402.7089920589
839713.7574217981;1702179.3139090035
839421.1649859194;1719710.1362219653
838326.0695444937;1706444.0580750152
836955.4640047243;1712370.5140032563
835980.7638338096;1708525.3052446048
835647.4691512126;1714369.7265418186
834708.6502142766;1712132.4702614571
833944.8850832026;1711115.4984038614
833376.559555443;1726425.9158762563
832709.9428179393;1705998.9167332319
830909.6791081645;1709513.3782713101
830765.0658264991;1707870.2715507853
